"General settings","Algemene instellingen"
"Enable","Inschakelen"
"Enable advanced tagging","Geavanceerde tags inschakelen"
"Read more about advanced tagging <a href=""https://support.google.com/adwords/answer/3103357?hl=en"">here</a>.","Lees <a href=""https://support.google.com/adwords/answer/3103357?hl=en"">hier</a> meer over geavanceerde tags."
"Enable to activate Google Dynamic Remarketing","Inschakelen om Google Dynamic Remarketing te gebruiken"
"Disable","Uitschakelen"
"Google Conversion ID","Google Conversie ID"
"Obtain conversion ID from <a href=""http://www.google.nl/ads/adwords/"">Google Adwords</a>","Een conversie ID verkrijgen op <a href=""http://www.google.nl/ads/adwords/"">Google Adwords</a>"
"Google remarketing only?","Enkel Google Remarketing inschakelen?"
"Product ID key","Product ID veld"
"Must match the Product ID from the Google Merchant Center feed.","Het product ID moet overeenkomen met het ID in de Google Merchant Center feed."